,id_registro,arco,longitud,latitud,carga
1177,1178,109-2451,-75.58053263241341,6.30650524126974,3103.0
1178,1179,109-2451,-75.58030177712945,6.306218295315107,3103.0
1179,1180,109-2451,-75.5800709218455,6.305931349360477,3103.0
1700,1701,151-2542,-75.56285868722506,6.25228375889635,7.0
1701,1702,151-2542,-75.5646595422354,6.254100034401502,7.0
1702,1703,151-2542,-75.5642093284828,6.253645965525213,7.0
1703,1704,151-2542,-75.56375911473023,6.253191896648926,7.0
1704,1705,151-2542,-75.56330890097766,6.252737827772638,7.0
1725,1726,153-3458,-75.56760221875952,6.250125758498932,38.0
1726,1727,153-3458,-75.56601942906215,6.249340479511166,38.0
1727,1728,153-3458,-75.56641512648648,6.249536799258107,38.0
1728,1729,153-3458,-75.56681082391083,6.2497331190050485,38.0
1729,1730,153-3458,-75.5672065213352,6.249929438751991,38.0
1730,1731,153-2549,-75.5652138017753,6.248319169923284,52.0
1731,1732,153-2549,-75.56601942906215,6.249340479511166,52.0
1732,1733,153-2549,-75.56581802224044,6.249085152114196,52.0
1733,1734,153-2549,-75.56561661541872,6.248829824717225,52.0
1734,1735,153-2549,-75.565415208597,6.248574497320254,52.0
1735,1736,153-2550,-75.56385117727994,6.250527809022445,146.0
1736,1737,153-2550,-75.56601942906215,6.249340479511166,146.0
1737,1738,153-2550,-75.5654773661166,6.2496373118889865,146.0
1738,1739,153-2550,-75.56493530317104,6.249934144266804,146.0
1739,1740,153-2550,-75.5643932402255,6.250230976644625,146.0
1765,1766,155-2557,-75.56606764181205,6.244662262304745,7253.0
1766,1767,155-2557,-75.56727998601778,6.2446986249458964,7253.0
1767,1768,155-2557,-75.56697689996635,6.244689534285607,7253.0
1768,1769,155-2557,-75.56667381391492,6.24468044362532,7253.0
1769,1770,155-2557,-75.56637072786346,6.244671352965032,7253.0
1770,1771,155-2558,-75.56723572270771,6.245567069726817,1712.0
1771,1772,155-2558,-75.56727998601778,6.2446986249458964,1712.0
1772,1773,155-2558,-75.56726892019027,6.2449157361411265,1712.0
1773,1774,155-2558,-75.56725785436274,6.2451328473363565,1712.0
1774,1775,155-2558,-75.5672467885352,6.245349958531586,1712.0
1805,1806,158-2571,-75.56479006948572,6.264064954062913,809.0
1806,1807,158-2571,-75.56517521715863,6.262891999203537,809.0
1807,1808,158-2571,-75.5650789302404,6.263185237918379,809.0
1808,1809,158-2571,-75.56498264332217,6.2634784766332245,809.0
1809,1810,158-2571,-75.56488635640395,6.263771715348071,809.0
1810,1811,158-2572,-75.56357233116158,6.263111508596975,3.0
1811,1812,158-2572,-75.56517521715863,6.262891999203537,3.0
1812,1813,158-2572,-75.56477449565936,6.262946876551894,3.0
1813,1814,158-2572,-75.56437377416009,6.263001753900255,3.0
1814,1815,158-2572,-75.56397305266084,6.263056631248615,3.0
1840,1841,160-2581,-75.56744801912325,6.2580229078937135,1928.0
1841,1842,160-2581,-75.56846992866136,6.2584017263578025,1928.0
1842,1843,160-2581,-75.56821445127683,6.258307021741781,1928.0
1843,1844,160-2581,-75.5679589738923,6.258212317125759,1928.0
1844,1845,160-2581,-75.56770349650778,6.258117612509737,1928.0
1900,1901,165-2604,-75.57127398151627,6.243310298334269,339.0
1901,1902,165-2604,-75.57119263531789,6.243319432393857,339.0
1902,1903,165-2604,-75.57121297186748,6.243317148878959,339.0
1903,1904,165-2604,-75.57123330841708,6.243314865364064,339.0
1904,1905,165-2604,-75.57125364496666,6.243312581849168,339.0
2040,2041,175-2628,-75.57487468876909,6.254306059347237,682.0
2041,2042,175-2628,-75.57492051994474,6.254884939632818,682.0
2042,2043,175-2628,-75.57490906215081,6.254740219561423,682.0
2043,2044,175-2628,-75.57489760435692,6.254595499490027,682.0
2044,2045,175-2628,-75.574886146563,6.254450779418633,682.0
2085,2086,180-2640,-75.58081630158912,6.2566449511296085,532.0
2086,2087,180-2640,-75.58014875388503,6.257837163599298,532.0
2087,2088,180-2640,-75.58031564081104,6.2575391104818765,532.0
2088,2089,180-2640,-75.58048252773708,6.2572410573644515,532.0
2089,2090,180-2640,-75.5806494146631,6.256943004247031,532.0
2680,2681,232-4565,-75.56118707505613,6.180145035896662,29.0
2681,2682,232-4565,-75.56371245718464,6.179653970105917,29.0
2682,2683,232-4565,-75.5630811116525,6.179776736553603,29.0
2683,2684,232-4565,-75.56244976612038,6.17989950300129,29.0
2684,2685,232-4565,-75.56181842058824,6.180022269448978,29.0
2745,2746,238-2784,-75.5681993064681,6.183177066119537,2.0
2746,2747,238-2784,-75.56702536643026,6.184182406256834,2.0
2747,2748,238-2784,-75.56731885143971,6.18393107122251,2.0
2748,2749,238-2784,-75.56761233644917,6.183679736188187,2.0
2749,2750,238-2784,-75.56790582145862,6.183428401153861,2.0
2935,2936,253-2818,-75.56929858915561,6.222118119502724,173.0
2936,2937,253-2818,-75.57087713003095,6.219040841994492,173.0
2937,2938,253-2818,-75.57048249481211,6.219810161371552,173.0
2938,2939,253-2818,-75.5700878595933,6.220579480748611,173.0
2939,2940,253-2818,-75.56969322437446,6.221348800125668,173.0
2980,2981,258-2830,-75.58005582497077,6.192218580392349,169.0
2981,2982,258-2830,-75.57975845642723,6.190428363341763,169.0
2982,2983,258-2830,-75.57983279856309,6.1908759176044095,169.0
2983,2984,258-2830,-75.57990714069899,6.191323471867057,169.0
2984,2985,258-2830,-75.57998148283487,6.191771026129702,169.0
2990,2991,259-2832,-75.57533673918904,6.222084440091733,366.0
2991,2992,259-2832,-75.57455740453845,6.22027612839685,366.0
2992,2993,259-2832,-75.5747522382011,6.220728206320571,366.0
