ruta,longitud,latitud
1001,-75.56462026,6.345893993
1001,-75.5645027,6.345833721
1001,-75.56475667,6.344945406
1001,-75.56483454,6.344939159
1001,-75.56493161,6.344984263
1001,-75.56507968,6.345059049
1001,-75.56525964,6.345153462
1001,-75.56554639,6.34529819
1001,-75.56610278,6.345594537
1001,-75.56631725,6.345729192
1001,-75.56647487,6.34588646
1001,-75.5665324,6.346085563
1001,-75.5666949,6.346665295
1001,-75.56702061,6.346826196
1001,-75.56708133,6.34756502
1001,-75.56775473,6.3475136
1001,-75.5677248,6.346914397
1001,-75.56771797,6.346550382
1001,-75.56775738,6.346430379
1001,-75.56786639,6.346310073
1001,-75.56808904,6.346224698
1001,-75.56828001,6.346153878
1001,-75.56843146,6.346067616
1001,-75.56878894,6.34575314
1001,-75.56913832,6.345401352
1001,-75.56947555,6.345025131
1001,-75.56954566,6.344977501
1001,-75.56960471,6.344972618
1001,-75.56964577,6.345034201
1001,-75.56966386,6.34518029
1001,-75.56969171,6.345453407
1001,-75.56970296,6.345590496
1001,-75.56977743,6.346180247
1001,-75.56981294,6.346462852
1001,-75.56990015,6.346632449
1001,-75.5699574,6.347186902
1001,-75.5700244,6.34771948
1001,-75.57008967,6.348282189
1001,-75.57011555,6.348427112
1001,-75.57014993,6.348546024
1001,-75.57019068,6.348577988
1001,-75.57027805,6.348572334
1001,-75.57030455,6.34851888
1001,-75.57027754,6.3484703
1001,-75.57024709,6.348433622
1001,-75.57017959,6.348401278
1001,-75.57013616,6.348341963
1001,-75.57006028,6.347722
1001,-75.56998704,6.34718599
1001,-75.56992493,6.346630421
1001,-75.56983657,6.346456599
1001,-75.56980154,6.346180948
1001,-75.56973665,6.345588357
1001,-75.56972477,6.345447102
1001,-75.56967086,6.344970093
1001,-75.56967792,6.344877871
1001,-75.56972689,6.344817666
1001,-75.5698074,6.344733398
1001,-75.56987191,6.344636268
1001,-75.56992565,6.344516754
1001,-75.56998238,6.344361642
1001,-75.5700391,6.34420653
1001,-75.57007406,6.343805235
1001,-75.57009331,6.343328844
1001,-75.57015967,6.343195982
1001,-75.57018565,6.343119252
1001,-75.57018367,6.34302054
1001,-75.57015252,6.342894638
1001,-75.57005636,6.342772741
1001,-75.56994016,6.342663534
1001,-75.56975955,6.34261021
1001,-75.56942797,6.342629976
1001,-75.56921912,6.342632174
1001,-75.56904248,6.342600884
1001,-75.56883367,6.342525193
1001,-75.5685446,6.342424591
1001,-75.56814599,6.342327666
1001,-75.56790266,6.342265745
1001,-75.56778115,6.342222853
1001,-75.56754824,6.342110814
1001,-75.56731183,6.341989444
1001,-75.56783147,6.340038588
1001,-75.56916149,6.339760851
1001,-75.56908098,6.33928944
1001,-75.56794959,6.339505443
1001,-75.56727368,6.341956856
1001,-75.56707652,6.341871843
1001,-75.56662823,6.341692836
1001,-75.56627561,6.341569402
1001,-75.56563565,6.341330136
1001,-75.56516673,6.34114099
1001,-75.56502707,6.341189076
1001,-75.56458241,6.342710937
1001,-75.56424018,6.343920128
1001,-75.56418778,6.343945484
1001,-75.56413141,6.343914003
1001,-75.56378755,6.343719587
1001,-75.56359691,6.343573282
1001,-75.5634021,6.343403098
1001,-75.56308725,6.343082223
1001,-75.56285724,6.342873612
1001,-75.5618703,6.342075941
1001,-75.56075193,6.341202615
1001,-75.55989435,6.340501566
1001,-75.55975894,6.340391929
1001,-75.55940961,6.340105132
1001,-75.55923421,6.338421206
1001,-75.55915918,6.337617823
1001,-75.55911122,6.336806404
1001,-75.56067181,6.336582836
1001,-75.56056624,6.335773956
1001,-75.56045997,6.335027031
1001,-75.56029771,6.333915031
1001,-75.56019111,6.333635684
1001,-75.56012547,6.333405252
1001,-75.56007986,6.332876702
1001,-75.56002627,6.332505858
1001,-75.55998876,6.332091731
1001,-75.55996762,6.331647487
1001,-75.56000099,6.331328383
1001,-75.56001866,6.331002735
1001,-75.56002047,6.33081163
1001,-75.55999932,6.330617621
1001,-75.55993413,6.330366821
1001,-75.55981779,6.330015123
1001,-75.55978214,6.329754505
1001,-75.55945497,6.329327895
1001,-75.55933749,6.32919693
1001,-75.55908589,6.328969367
1001,-75.558939,6.328863246
